,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12,2029-01,2029-02,2029-03,2029-04,2029-05,2029-06,Total
Transaction Costs,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$-880,351",$0,$0,$0,$0,$0,"$-880,351"
  Capital Subtotal,$-5.5M,"$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,522","$-11,094","$-27,826","$-259,018",$-1.5M,$-3.7M,$-3.7M,$-1.5M,"$-259,018","$-27,826","$-11,094","$-10,522","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-10,510","$-880,351",$0,$0,$0,$0,$0,$-18.0M
Equity Contribution,$5.5M,"$10,510","$10,510","$10,510","$10,510","$10,510","$10,510","$10,510","$10,510","$10,510","$10,510","$10,510","$10,510","$10,510","$10,510","$10,510","$10,510","$10,510","$10,510","$10,510","$10,510","$10,510","$10,510","$10,510","$10,522","$11,094","$27,826","$259,018","$264,879",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$6.3M
Equity Distribution,"$-25,491","$-25,341","$-25,190","$-25,039","$-24,887","$-24,735","$-24,583","$-24,430","$-24,277","$-24,123","$-23,969","$-23,814","$-23,659","$-23,504","$-23,348","$-50,275","$-77,202","$-104,128","$-131,054","$-157,980","$-184,905","$-200,454","$-225,754","$-251,052","$-250,892","$-250,732","$-250,571","$-250,410","$-250,248","$-250,086","$-249,923","$-249,760","$-249,596","$-249,432","$-249,268","$-249,103","$-248,938","$-248,772","$-248,606","$-248,439","$-248,272","$-248,105","$-247,937","$-247,768","$-247,599","$-247,430","$-247,260","$-247,090","$-246,919","$-246,748","$-246,576","$-246,404","$-246,231","$-246,058","$-245,885","$-245,711","$-245,536","$-245,361","$-245,186","$-245,010",$-28.7M,"$-244,657","$-244,480","$-244,302","$-244,124","$-243,945",$-40.6M
Interest Payment,"$-63,562","$-63,485","$-63,409","$-63,332","$-63,254","$-63,177","$-63,099","$-63,020","$-62,942","$-62,863","$-62,784","$-62,704","$-62,624","$-62,544","$-62,463","$-62,382","$-62,301","$-62,219","$-62,137","$-62,055","$-61,972","$-61,889","$-61,806","$-61,722","$-61,638","$-61,554","$-61,469","$-61,384","$-61,299","$-61,213","$-61,127","$-61,040","$-60,953","$-60,866","$-60,778","$-60,690","$-60,602","$-60,513","$-60,424","$-60,335","$-60,245","$-60,155","$-60,064","$-59,973","$-59,882","$-59,790","$-59,698","$-59,606","$-59,513","$-59,420","$-59,326","$-59,232","$-59,138","$-59,043","$-58,948","$-58,852","$-58,756","$-58,660","$-58,563","$-58,466","$-58,368","$-58,270","$-58,172","$-58,073","$-57,974","$-57,874",$-4.0M
Loan Proceeds,$11.3M,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$11.3M
Principal Payment,"$-18,329","$-18,406","$-18,483","$-18,560","$-18,637","$-18,715","$-18,792","$-18,871","$-18,949","$-19,028","$-19,108","$-19,187","$-19,267","$-19,347","$-19,428","$-19,509","$-19,590","$-19,672","$-19,754","$-19,836","$-19,919","$-20,002","$-20,085","$-20,169","$-20,253","$-20,337","$-20,422","$-20,507","$-20,593","$-20,678","$-20,765","$-20,851","$-20,938","$-21,025","$-21,113","$-21,201","$-21,289","$-21,378","$-21,467","$-21,556","$-21,646","$-21,736","$-21,827","$-21,918","$-22,009","$-22,101","$-22,193","$-22,285","$-22,378","$-22,472","$-22,565","$-22,659","$-22,754","$-22,848","$-22,944","$-23,039","$-23,135","$-23,232","$-23,328","$-23,426","$-23,523","$-23,621","$-23,720","$-23,819","$-23,918","$-24,017",$-1.4M
Refinancing Payoff,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-11.3M,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$-11.3M
Refinancing Proceeds,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$15.3M,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$15.3M
  Financing Subtotal,$16.6M,"$-96,723","$-96,572","$-96,421","$-96,269","$-96,117","$-95,964","$-95,812","$-95,658","$-95,505","$-95,351","$-95,196","$-95,041","$-94,886","$-94,730","$-121,657","$-148,584","$-175,510","$-202,436","$-229,361","$-256,286","$-271,836","$-297,135","$-322,434","$-322,262","$-321,529","$-304,636","$-73,282",$3.9M,"$-331,977","$-331,814","$-331,651","$-331,488","$-331,324","$-331,159","$-330,994","$-330,829","$-330,663","$-330,497","$-330,331","$-330,163","$-329,996","$-329,828","$-329,659","$-329,491","$-329,321","$-329,151","$-328,981","$-328,810","$-328,639","$-328,467","$-328,295","$-328,123","$-327,950","$-327,776","$-327,602","$-327,428","$-327,253","$-327,077","$-326,901",$-28.8M,"$-326,548","$-326,371","$-326,193","$-326,015","$-325,836",$-24.5M
Asset Valuation,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$639,976",$3.7M,$7.2M,$10.7M,$14.2M,$17.7M,$20.8M,$23.5M,$25.7M,$27.5M,$29.0M,$30.0M,$30.7M,$31.1M,$31.0M,$31.0M,$31.0M,$30.9M,$30.9M,$30.9M,$30.9M,$30.8M,$30.8M,$30.8M,$30.7M,$30.7M,$30.7M,$30.6M,$30.6M,$30.6M,$30.5M,$30.5M,$30.5M,$30.5M,$30.4M,$30.4M,$30.4M,$30.3M,$30.3M,$59.6M,$30.2M,$30.2M,$30.2M,$30.1M,$30.1M,$1249.6M
