period,equity_contributions
2024-01,9253507.680000009
2024-02,57600.0000265253
2024-03,57600.02043134321
2024-04,57605.92354911308
2024-05,58250.79086365709
2024-06,84934.75071323004
2024-07,106538.51641612127
