period,capex
2024-01,-605072.8125
2025-01,-40000.0
2025-02,-40000.0
2025-03,-40000.0
2025-04,-40000.0
2025-05,-40000.0
2025-06,-40000.0
2025-07,-40000.0
2025-08,-40000.0
2025-09,-40000.0
2025-10,-40000.0
2025-11,-40000.0
2025-12,-40000.0
2026-01,-40000.0
2026-02,-40000.0
2026-03,-40000.0
2026-04,-40000.0
2026-05,-40000.0
2026-06,-40000.0
2026-07,-40000.0
2026-08,-40000.0
2026-09,-40000.0
2026-10,-40000.0
2026-11,-40000.0
2026-12,-40000.0
2027-01,-40000.0
